news_id,headline,candidate_id,news_source,sentiment,impact_score,publication_date
283,Ganesh Dhakal leads polls in Bharatpur according to latest survey,198,Avenues TV,Positive,1.37,2082-02-02
284,Kamal Rokaya leads polls in Hetauda according to latest survey,179,Avenues TV,Positive,7.54,2082-04-12
285,Shyam Yadav files candidacy for Butwal constituency,18,Deshsanchar,Neutral,2.02,2082-02-10
286,Bhim Thapa promises to transform economy in 100 days,187,Avenues TV,Positive,8.36,2082-02-26
287,Bed Subba holds press conference on education agenda,132,Annapurna Post,Neutral,9.14,2082-04-05
288,Critics question Sunita Aryal's stance on governance,35,Ratopati,Negative,6.69,2082-03-01
289,Top Yadav campaigns in rural Butwal districts,71,Annapurna Post,Neutral,7.67,2082-03-24
290,Govinda Khadka unveils comprehensive employment manifesto,128,Gorkhapatra,Positive,8.64,2082-04-11
291,Election Commission verifies Ek Dhakal's credentials,48,Nepal TV,Neutral,6.16,2082-02-11
292,Bimala Tharu unveils comprehensive governance manifesto,63,Nagarik News,Positive,1.64,2082-04-14
293,Tara Khadka declares assets worth NPR 1.6 crore,134,Rising Nepal,Neutral,5.36,2082-02-16
294,Ram Sapkota's campaign finances under scrutiny,26,Setopati,Negative,2.64,2082-04-14
295,Voters express dissatisfaction with Sumitra Magar's record,150,Annapurna Post,Negative,7.71,2082-03-10
296,Naresh Magar promises to transform employment in 100 days,52,Nagarik News,Positive,9.29,2082-03-16
297,Ramesh Niraula unveils comprehensive corruption manifesto,17,Nepal TV,Positive,9.15,2082-03-08
298,Lekh Sapkota holds press conference on governance agenda,114,Nepal TV,Neutral,3.36,2082-03-10
299,Critics question Tara Khadka's stance on corruption,134,Deshsanchar,Negative,7.7,2082-02-28
300,Election Commission verifies Naresh Bohora's credentials,175,Nagarik News,Neutral,9.22,2082-04-03
